date,day,elapsed_seconds,solved,checked,revealed,streak_eligible
2021-01-14,Thu,1174,1,0,0,1
2021-01-15,Fri,3353,1,0,0,1
2021-01-16,Sat,2200,1,0,0,1
2021-01-17,Sun,3963,1,0,0,1
2021-01-18,Mon,1033,1,0,0,1
2021-01-19,Tue,881,1,0,0,1
2021-01-20,Wed,2545,1,0,0,1
2021-01-21,Thu,2566,1,0,0,1
2021-01-22,Fri,2201,1,0,0,1
2021-01-23,Sat,2900,1,0,0,1
2021-01-24,Sun,5768,1,0,0,1
2021-01-25,Mon,1200,1,0,0,1
2021-01-26,Tue,2423,1,0,0,0
2021-01-27,Wed,741,1,0,0,1
2021-01-28,Thu,3195,1,0,0,1
2021-01-29,Fri,1915,1,0,0,1
2021-01-30,Sat,2904,1,0,0,1
2021-01-31,Sun,4764,1,0,0,1
2021-02-01,Mon,545,1,0,0,1
2021-02-02,Tue,1045,1,0,0,1
2021-02-03,Wed,1607,1,0,0,1
2021-02-04,Thu,1384,1,0,0,1
2021-02-05,Fri,1977,1,0,0,1
2021-02-06,Sat,2038,1,0,0,1
2021-02-07,Sun,3981,1,0,0,1